,0,1,infos,street,geocoded
36,4348,"(['PAGE TITLE:  IMMER VORNE DRAN! - Bressel und Lade - Anbaugeräte für Ihren Lader vom Spezialisten', ['/de/impressum'], None], 'NO!')","['PAGE TITLE:  IMMER VORNE DRAN! - Bressel und Lade - Anbaugeräte für Ihren Lader vom Spezialisten', ['/de/impressum'], None]",NO!,"[51.27476, 6.79986]"
37,4349,"(['PAGE TITLE: Aug. Doenitz Verpackungen GmbH - Displays & Packaging', [None], None], None)","['PAGE TITLE: Aug. Doenitz Verpackungen GmbH - Displays & Packaging', [None], None]",,"[-1.0, -1.0]"
38,4350,"(['PAGE TITLE: Jugendhilfe Wümmetal ', ['https://www.jugendhilfe-wuemmetal.de/impressum/'], None], 'NO!')","['PAGE TITLE: Jugendhilfe Wümmetal ', ['https://www.jugendhilfe-wuemmetal.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
39,4351,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
40,4352,"(['PAGE TITLE: THIEL GmbH Fördertechnik, Maschinenbau: Konstruktion, Produktion', ['/impressum'], None], 'Farwicker Straße 23 D-49624 Löningen')","['PAGE TITLE: THIEL GmbH Fördertechnik, Maschinenbau: Konstruktion, Produktion', ['/impressum'], None]",Farwicker Straße 23 D-49624 Löningen,"[51.27476, 6.79986]"
41,4353,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
42,4354,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
43,4355,"(['Südbeck Nutzfahrzeuge GmbH 2018', ['/impressum/index.html'], None], 'Rudolf-Diesel-Str. 3 49456 Bakum')","['Südbeck Nutzfahrzeuge GmbH 2018', ['/impressum/index.html'], None]",Rudolf-Diesel-Str. 3 49456 Bakum,"[51.27476, 6.79986]"
44,4356,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
45,4357,"(['PAGE TITLE: ', [None], None], None)","['PAGE TITLE: ', [None], None]",,"[-1.0, -1.0]"
46,4358,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
47,4359,"(['2018 Alle Rechte vorbehalten.', ['/impressum/'], None], 'NO!')","['2018 Alle Rechte vorbehalten.', ['/impressum/'], None]",NO!,"[51.27476, 6.79986]"
48,4360,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
49,4361,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
50,4362,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
51,4363,"(['2016 KOWA Deutschland', ['https://www.kowa.de/impressum'], None], 'NO!')","['2016 KOWA Deutschland', ['https://www.kowa.de/impressum'], None]",NO!,"[51.27476, 6.79986]"
52,4364,"(['PAGE TITLE: KonsoleH Login', [None], None], None)","['PAGE TITLE: KonsoleH Login', [None], None]",,"[-1.0, -1.0]"
53,4365,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
54,4366,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
55,4367,"(['PAGE TITLE:  Startseite - E+A Elektrotechnik und Aggregatebau Betriebsgesellschaft mbH', ['impressum/'], None], 'Auf dem Reuterhamm 22 D-27576 Bremerhaven')","['PAGE TITLE:  Startseite - E+A Elektrotechnik und Aggregatebau Betriebsgesellschaft mbH', ['impressum/'], None]",Auf dem Reuterhamm 22 D-27576 Bremerhaven,"[51.27476, 6.79986]"
56,4368,"(['PAGE TITLE: Bredo: Home', [None], None], None)","['PAGE TITLE: Bredo: Home', [None], None]",,"[-1.0, -1.0]"
57,4369,"(['PAGE TITLE: Fisch bestellen im Online-Fischversand', ['https://www.fiedlers-fischmarkt.de/informationen/impressum.html/'], None], 'Dreistern Verwaltungs GmbH Amtsgericht Bremen HRB 29995 HB')","['PAGE TITLE: Fisch bestellen im Online-Fischversand', ['https://www.fiedlers-fischmarkt.de/informationen/impressum.html/'], None]",Dreistern Verwaltungs GmbH Amtsgericht Bremen HRB 29995 HB,"[51.27476, 6.79986]"
58,4370,"(['PAGE TITLE: Tabak Wolters - Startseite', ['/unternehmen/impressum/'], None], 'NO!')","['PAGE TITLE: Tabak Wolters - Startseite', ['/unternehmen/impressum/'], None]",NO!,"[51.27476, 6.79986]"
59,4371,"(['2013 Zur Heinrich Rönner Gruppe', ['/impressum/'], None], 'Neufundlandstr. 2 D-27572 Bremerhaven')","['2013 Zur Heinrich Rönner Gruppe', ['/impressum/'], None]",Neufundlandstr. 2 D-27572 Bremerhaven,"[51.27476, 6.79986]"
60,4372,"(['2013 Zur Heinrich Rönner Gruppe', ['/impressum/'], None], 'Am Lunedeich 143 27572 Bremerhaven')","['2013 Zur Heinrich Rönner Gruppe', ['/impressum/'], None]",Am Lunedeich 143 27572 Bremerhaven,"[51.27476, 6.79986]"
61,4373,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
62,4374,"([""by www.iViDesign.ch');"", ['impressum_datenschutz.html'], None], 'NO!')","[""by www.iViDesign.ch');"", ['impressum_datenschutz.html'], None]",NO!,"[51.27476, 6.79986]"
63,4375,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
64,4376,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
65,4377,"(['2018 atka Kunststoffverarbeitung GmbH', ['impressum.php'], None], 'NO!')","['2018 atka Kunststoffverarbeitung GmbH', ['impressum.php'], None]",NO!,"[51.27476, 6.79986]"
66,4378,"(['Copyright 2016 Weltec Biopower GmbH - All rights reserved', ['https://www.weltec-biopower.de/impressum.html'], None], 'NO!')","['Copyright 2016 Weltec Biopower GmbH - All rights reserved', ['https://www.weltec-biopower.de/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
67,4379,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
68,4380,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
69,4381,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
70,4382,"(['2009-2018 by the Froxlor Team', [None], None], None)","['2009-2018 by the Froxlor Team', [None], None]",,"[-1.0, -1.0]"
71,4383,"(['Otto Kühling. \t  Impressum - AGB - Datenschutz - Disclaimer   \t\tLayout und Umsetzung von    ', ['/impressum'], None], 'Kopernikusstraße 2 49377 Vechta / Germany')","['Otto Kühling. \t  Impressum - AGB - Datenschutz - Disclaimer   \t\tLayout und Umsetzung von    ', ['/impressum'], None]",Kopernikusstraße 2 49377 Vechta / Germany,"[51.27476, 6.79986]"
72,4384,"(['PAGE TITLE: NW-Niemann GmbH Elektrotechnik - Home', ['/impressum'], None], 'Schnatgang 3 49377 Langförden')","['PAGE TITLE: NW-Niemann GmbH Elektrotechnik - Home', ['/impressum'], None]",Schnatgang 3 49377 Langförden,"[51.27476, 6.79986]"
73,4385,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
74,4386,"(['PAGE TITLE: mastercraft - ... besser arbeiten!', ['http://www.mastercraft.de/impressum.php'], None], 'NO!')","['PAGE TITLE: mastercraft - ... besser arbeiten!', ['http://www.mastercraft.de/impressum.php'], None]",NO!,"[51.27476, 6.79986]"
75,4387,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
76,4388,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
77,4389,"(['PAGE TITLE: Strautmann Umwelttechnik - Müllpressen u. Entsorgungstechnik', [None], None], None)","['PAGE TITLE: Strautmann Umwelttechnik - Müllpressen u. Entsorgungstechnik', [None], None]",,"[-1.0, -1.0]"
78,4390,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
79,4391,"(['PAGE TITLE: Ultra-Pharm Medicalprodukte GmbH', [None], None], None)","['PAGE TITLE: Ultra-Pharm Medicalprodukte GmbH', [None], None]",,"[-1.0, -1.0]"
80,4392,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
81,4393,"(['PAGE TITLE: Potthoff Kartonagen GmbH', [None], None], None)","['PAGE TITLE: Potthoff Kartonagen GmbH', [None], None]",,"[-1.0, -1.0]"
82,4394,"(['PAGE TITLE: Home', ['/impressum.html'], None], 'Große Str. 10 49201 Dissen')","['PAGE TITLE: Home', ['/impressum.html'], None]",Große Str. 10 49201 Dissen,"[51.27476, 6.79986]"
83,4395,"(['PAGE TITLE: Home', ['/de/impressum.html'], None], 'NO!')","['PAGE TITLE: Home', ['/de/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
84,4396,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
85,4397,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
86,4398,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
87,4399,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
88,4400,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
89,4401,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
90,4402,"(['jpc-Schallplatten-Versandhandelsgesellschaft mbH', ['https://www.jpc.de/jpcng/home/static/-/page/rechtliches.html#head-impressum'], None], 'NO!')","['jpc-Schallplatten-Versandhandelsgesellschaft mbH', ['https://www.jpc.de/jpcng/home/static/-/page/rechtliches.html#head-impressum'], None]",NO!,"[51.27476, 6.79986]"
91,4403,"(['2018 Autohaus Hülsmann & Tegeler', ['https://www.huelsmannundtegeler.de/impressum/'], None], 'NO!')","['2018 Autohaus Hülsmann & Tegeler', ['https://www.huelsmannundtegeler.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
92,4404,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
93,4405,"(['PAGE TITLE: Saint-Gobain - Innovative Werkstoffe, Bauprodukte, Baufachhandel und Verpackung in Mitteleuropa - mit Aktuellem, Produkten, Gesellschaften und Stellenbörse', ['/impressum'], None], 'Krefelder Straße 195 D-52070 Aachen (Deutschland)')","['PAGE TITLE: Saint-Gobain - Innovative Werkstoffe, Bauprodukte, Baufachhandel und Verpackung in Mitteleuropa - mit Aktuellem, Produkten, Gesellschaften und Stellenbörse', ['/impressum'], None]",Krefelder Straße 195 D-52070 Aachen (Deutschland),"[51.27476, 6.79986]"
94,4406,"(['2018\xa0Handwerksgruppe Philip Mecklenburg', ['/impressum.html'], None], 'NO!')","['2018\xa0Handwerksgruppe Philip Mecklenburg', ['/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
95,4407,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
96,4408,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
97,4409,"(['PAGE TITLE: SAB - entwickelt und produziert Spezialarmaturen, Filter und Filtrationsanlagen »\xa0Aktuelles', ['de/impressum.html'], None], 'Buntentorsdeich 1 28201 Bremen')","['PAGE TITLE: SAB - entwickelt und produziert Spezialarmaturen, Filter und Filtrationsanlagen »\xa0Aktuelles', ['de/impressum.html'], None]",Buntentorsdeich 1 28201 Bremen,"[51.27476, 6.79986]"
98,4410,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
99,4411,"(['2012 BREKOM – ein Unternehmen der EWE TEL GmbH - Partner: icyteas | htp | swb | osnatel | EWE', ['/de/impressum/'], None], 'Am Weser-Terminal 1 28217 Bremen')","['2012 BREKOM – ein Unternehmen der EWE TEL GmbH - Partner: icyteas | htp | swb | osnatel | EWE', ['/de/impressum/'], None]",Am Weser-Terminal 1 28217 Bremen,"[51.27476, 6.79986]"
100,4412,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
101,4413,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
102,4414,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
103,4415,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
104,4416,"(['PAGE TITLE: REVILS International', ['index.html#impressum'], None], 'NO!')","['PAGE TITLE: REVILS International', ['index.html#impressum'], None]",NO!,"[51.27476, 6.79986]"
105,4417,"(['DatumAktuell = new Date();JahrAktuell = DatumAktuell.getFullYear();document.write(JahrAktuell);  benntec Systemtechnik GmbH', ['/service/impressum'], None], 'Karl-Ferdinand-Braun Straße 7 28359 Bremen')","['DatumAktuell = new Date();JahrAktuell = DatumAktuell.getFullYear();document.write(JahrAktuell);  benntec Systemtechnik GmbH', ['/service/impressum'], None]",Karl-Ferdinand-Braun Straße 7 28359 Bremen,"[51.27476, 6.79986]"
106,4418,"(['PAGE TITLE: Trecolan.de: Trecolan GmbH', [None], None], None)","['PAGE TITLE: Trecolan.de: Trecolan GmbH', [None], None]",,"[-1.0, -1.0]"
107,4419,"(['PAGE TITLE: Preusse Elektro- und Sicherheitstechnik', ['http://www.preusse-elektro.de/impressum/'], None], 'NO!')","['PAGE TITLE: Preusse Elektro- und Sicherheitstechnik', ['http://www.preusse-elektro.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
108,4420,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
109,4421,"(['PAGE TITLE: Bockmeyer Bau: Unternehmen', ['https://www.bockmeyer-bau.de/footermenu/impressum/'], None], 'Kleine Marschstraße 15/19 D-28309 Bremen')","['PAGE TITLE: Bockmeyer Bau: Unternehmen', ['https://www.bockmeyer-bau.de/footermenu/impressum/'], None]",Kleine Marschstraße 15/19 D-28309 Bremen,"[51.27476, 6.79986]"
110,4422,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
111,4423,"(['PAGE TITLE: Peinemann + Sohn (GmbH & Co. KG) -Sanitär, Heizung und Klima in und um Bremen - Peinemann + Sohn \xad(GmbH\xa0&\xa0Co.\xa0KG)', [None], None], None)","['PAGE TITLE: Peinemann + Sohn (GmbH & Co. KG) -Sanitär, Heizung und Klima in und um Bremen - Peinemann + Sohn \xad(GmbH\xa0&\xa0Co.\xa0KG)', [None], None]",,"[-1.0, -1.0]"
112,4424,"(['PAGE TITLE: Default Parallels Plesk Panel Page', [None], None], None)","['PAGE TITLE: Default Parallels Plesk Panel Page', [None], None]",,"[-1.0, -1.0]"
113,4425,"(['PAGE TITLE: Dolle Kunststoffe ', ['unternehmen/impressum/'], None], 'Rockwinkeler Landstraße 117 D-28325 Bremen')","['PAGE TITLE: Dolle Kunststoffe ', ['unternehmen/impressum/'], None]",Rockwinkeler Landstraße 117 D-28325 Bremen,"[51.27476, 6.79986]"
114,4426,"(['amont, TUI, den WWF und NABU.', ['https://www.construktiv.de/impressum/'], None], 'NO!')","['amont, TUI, den WWF und NABU.', ['https://www.construktiv.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
115,4427,"(['2018 encoway GmbH', ['/impressum'], None], 'Buschhöhe 2 28357 Bremen')","['2018 encoway GmbH', ['/impressum'], None]",Buschhöhe 2 28357 Bremen,"[51.27476, 6.79986]"
116,4428,"(['PAGE TITLE: Backstube – Backen mit Leidenschaft', ['https://backstubebremen.de/impressum/'], None], 'NO!')","['PAGE TITLE: Backstube – Backen mit Leidenschaft', ['https://backstubebremen.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
117,4429,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
118,4430,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
119,4431,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
120,4432,"(['PAGE TITLE: COE Carl Ostermann Erben: COE Home', ['kurzmenue/impressum/'], None], 'Stiller Weg 5 28816 Stuhr-Moordeich')","['PAGE TITLE: COE Carl Ostermann Erben: COE Home', ['kurzmenue/impressum/'], None]",Stiller Weg 5 28816 Stuhr-Moordeich,"[51.27476, 6.79986]"
121,4433,"(['PAGE TITLE: Startseite', [None], None], None)","['PAGE TITLE: Startseite', [None], None]",,"[-1.0, -1.0]"
122,4434,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
123,4435,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
124,4436,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
125,4437,"(['PAGE TITLE: Weiterleitung zum Kundenportal', [None], None], None)","['PAGE TITLE: Weiterleitung zum Kundenportal', [None], None]",,"[-1.0, -1.0]"
126,4438,"(['2015 CeH4 | Design and Development by Jenko Sternberg Design GmbH', ['footermenu/impressum/'], None], 'NO!')","['2015 CeH4 | Design and Development by Jenko Sternberg Design GmbH', ['footermenu/impressum/'], None]",NO!,"[51.27476, 6.79986]"
127,4439,"(['PAGE TITLE: \n\t\t   Maxi-Autohof - Ihr MAXImaler Autohof\t', ['/impressum'], None], 'Bentheimer Straße 239 48529 Nordhorn')","['PAGE TITLE: \n\t\t   Maxi-Autohof - Ihr MAXImaler Autohof\t', ['/impressum'], None]",Bentheimer Straße 239 48529 Nordhorn,"[51.27476, 6.79986]"
128,4440,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
129,4441,"(['2018\xa0ENO telecom GmbH', ['/impressum/'], None], 'NO!')","['2018\xa0ENO telecom GmbH', ['/impressum/'], None]",NO!,"[51.27476, 6.79986]"
130,4442,"(['PAGE TITLE: Öffentlichkeitsarbeit in Wort und Bild - BVB-Verlagsgesellschaft mbH', ['impressum.php'], None], 'Friedrichstraße 4 48529 Nordhorn')","['PAGE TITLE: Öffentlichkeitsarbeit in Wort und Bild - BVB-Verlagsgesellschaft mbH', ['impressum.php'], None]",Friedrichstraße 4 48529 Nordhorn,"[51.27476, 6.79986]"
131,4443,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
132,4444,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
133,4445,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
134,4446,"(['2018 GUSSEK HAUS · Franz Gussek GmbH & Co. KG\xa0·\xa0Euregiostraße 7 · 48527 Nordhorn · Tel: +49 5921 174-0\xa0|\xa0 Impressum\xa0|\xa0 Datenschutz\xa0|\xa0 Haftungsausschluss', ['/site/impressum/'], None], 'Euregiostraße 7 48527 Nordhorn')","['2018 GUSSEK HAUS · Franz Gussek GmbH & Co. KG\xa0·\xa0Euregiostraße 7 · 48527 Nordhorn · Tel: +49 5921 174-0\xa0|\xa0 Impressum\xa0|\xa0 Datenschutz\xa0|\xa0 Haftungsausschluss', ['/site/impressum/'], None]",Euregiostraße 7 48527 Nordhorn,"[51.27476, 6.79986]"
135,4447,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
136,4448,"(['2018 Nie-Tieke GmbH', [None], None], None)","['2018 Nie-Tieke GmbH', [None], None]",,"[-1.0, -1.0]"
137,4449,"(['PAGE TITLE: Gartenpavillons von WOGA - handgefertigte Holzpavillons', ['https://www.woga.de/impressum/'], None], 'NO!')","['PAGE TITLE: Gartenpavillons von WOGA - handgefertigte Holzpavillons', ['https://www.woga.de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
138,4450,"(['2018\u2002BvL Group\u2002|\u2002Grenzstr. 16\u2002|\u200248488 Emsbüren\u2002|\u2002Deutschland\u2002|\u2002Tel. +49 (0) 5903 951-0\u2002|\u2002Fax +49 (0) 5903 951-34 ', ['de/impressum/'], None], 'Grenzstr. 16 D – 48488 Emsbüren')","['2018\u2002BvL Group\u2002|\u2002Grenzstr. 16\u2002|\u200248488 Emsbüren\u2002|\u2002Deutschland\u2002|\u2002Tel. +49 (0) 5903 951-0\u2002|\u2002Fax +49 (0) 5903 951-34 ', ['de/impressum/'], None]",Grenzstr. 16 D – 48488 Emsbüren,"[51.27476, 6.79986]"
139,4451,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
140,4452,"(['PAGE TITLE: BLOND Werbeagentur', ['/impressum'], None], 'Kolpingstraße 5 48480 Schapen')","['PAGE TITLE: BLOND Werbeagentur', ['/impressum'], None]",Kolpingstraße 5 48480 Schapen,"[51.27476, 6.79986]"
141,4453,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
142,4454,"(['2018\xa0Diakonischer Dienst gGmbH', ['/impressum/'], None], 'NO!')","['2018\xa0Diakonischer Dienst gGmbH', ['/impressum/'], None]",NO!,"[51.27476, 6.79986]"
143,4455,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
144,4456,"(['PAGE TITLE: Salzwedeler Baumkuchen GmbH', ['https://baumkuchen-saw.de/impressum'], None], 'NO!')","['PAGE TITLE: Salzwedeler Baumkuchen GmbH', ['https://baumkuchen-saw.de/impressum'], None]",NO!,"[51.27476, 6.79986]"
145,4457,"(['PAGE TITLE: Rotkreuz – D&T Internet GmbH', [None], None], None)","['PAGE TITLE: Rotkreuz – D&T Internet GmbH', [None], None]",,"[-1.0, -1.0]"
146,4458,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
147,4459,"(['PAGE TITLE: Wohnen', [None], None], None)","['PAGE TITLE: Wohnen', [None], None]",,"[-1.0, -1.0]"
148,4460,"(['PAGE TITLE: Harbort GmbH & Co. KG', ['./index.php?site=impressum'], None], 'NO!')","['PAGE TITLE: Harbort GmbH & Co. KG', ['./index.php?site=impressum'], None]",NO!,"[51.27476, 6.79986]"
149,4461,"([' 2018 Dr. Lohbeck Privathotels', ['https://www.hotel-heide-kroepke.de/de/impressum/'], None], 'NO!')","[' 2018 Dr. Lohbeck Privathotels', ['https://www.hotel-heide-kroepke.de/de/impressum/'], None]",NO!,"[51.27476, 6.79986]"
150,4462,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
