,0,1,infos,street,geocoded
0,2156,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
1,2157,"(['PAGE TITLE: Startseite - Geiger Gruppe Nürnberg', ['/impressum/'], None], 'Virnsberger Straße 30 90431 Nürnberg')","['PAGE TITLE: Startseite - Geiger Gruppe Nürnberg', ['/impressum/'], None]",Virnsberger Straße 30 90431 Nürnberg,"[51.27476, 6.79986]"
2,2158,"([""2018 STOCKMEIER Gruppe KontaktImpressumDatenschutzAGB Gestaltung & Realisation  +\xa0|\xa0LOUIS\xa0INTERNET window.dataLayer=window.dataLayer||[];var company_name='STAUB & CO. - SILBERMANN',company_id='5',branch_name='Chemistry',branch_id='5';dataLayer.push({'stockmeier_config':{'company':{'name':company_name,'id':company_id},'branch':{'name':branch_name,'id':branch_id}}});"", ['/de/stockmeier-chemie/impressum/'], None], 'Am Stadtholz 37 33609 Bielefeld')","[""2018 STOCKMEIER Gruppe KontaktImpressumDatenschutzAGB Gestaltung & Realisation  +\xa0|\xa0LOUIS\xa0INTERNET window.dataLayer=window.dataLayer||[];var company_name='STAUB & CO. - SILBERMANN',company_id='5',branch_name='Chemistry',branch_id='5';dataLayer.push({'stockmeier_config':{'company':{'name':company_name,'id':company_id},'branch':{'name':branch_name,'id':branch_id}}});"", ['/de/stockmeier-chemie/impressum/'], None]",Am Stadtholz 37 33609 Bielefeld,"[51.27476, 6.79986]"
3,2159,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
4,2160,"(['PAGE TITLE: Home ', ['impressum.html'], None], 'Utbremer Str. 27 (Zentrale) 28217 Bremen')","['PAGE TITLE: Home ', ['impressum.html'], None]",Utbremer Str. 27 (Zentrale) 28217 Bremen,"[51.27476, 6.79986]"
5,2161,"(['PAGE TITLE: kgs-plate.de', [None], None], None)","['PAGE TITLE: kgs-plate.de', [None], None]",,"[-1.0, -1.0]"
6,2162,"(['2017', ['/impressum/'], None], ' Lankower Straße 11a, D-19057 Schwerin')","['2017', ['/impressum/'], None]"," Lankower Straße 11a, D-19057 Schwerin","[51.27476, 6.79986]"
7,2163,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
8,2164,"(['Power Oil Rostock GmbH – Ein Unternehmen der GETREIDE AG', ['de/impressum.html'], None], 'Am Düngemittelkai 5 18147 Rostock')","['Power Oil Rostock GmbH – Ein Unternehmen der GETREIDE AG', ['de/impressum.html'], None]",Am Düngemittelkai 5 18147 Rostock,"[51.27476, 6.79986]"
9,2165,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
10,2166,"(['Klenke Maschinenfabrik GmbH · Unteres Tor 25 · 37154 Northeim · Telefon: 05551 97990 · Telefax: 05551 979950 Datenschutz · Impressum · E-Mail: info@klenke-maschinenfabrik.de · Webdesign: MPSNdesign', ['/impressum/index.html'], None], 'Unteres Tor 25 37154 Northeim, OT Sudheim')","['Klenke Maschinenfabrik GmbH · Unteres Tor 25 · 37154 Northeim · Telefon: 05551 97990 · Telefax: 05551 979950 Datenschutz · Impressum · E-Mail: info@klenke-maschinenfabrik.de · Webdesign: MPSNdesign', ['/impressum/index.html'], None]","Unteres Tor 25 37154 Northeim, OT Sudheim","[51.27476, 6.79986]"
11,2167,"([' Sanvartis GmbH', ['/sanvartis/impressum.aspx'], None], 'Dr.-Alfred-Herrhausen-Allee 9-11 47228 Duisburg')","[' Sanvartis GmbH', ['/sanvartis/impressum.aspx'], None]",Dr.-Alfred-Herrhausen-Allee 9-11 47228 Duisburg,"[51.27476, 6.79986]"
12,2168,"([None, None, None], None)","[None, None, None]",,"[-1.0, -1.0]"
13,2169,"(['PAGE TITLE: Spezialschmierstoffe von BECHEM Lubrication Technology', ['/impressum.html'], None], 'NO!')","['PAGE TITLE: Spezialschmierstoffe von BECHEM Lubrication Technology', ['/impressum.html'], None]",NO!,"[51.27476, 6.79986]"
14,2170,"(['PAGE TITLE: sat Sanierungstechnik GmbH in Worms, Ihr Dienstleister für Recyclingtechnik, Gefahrstoffsanierung, Brandschadensanierung und Wasserschadensanierung.', ['impressum.php?uKey=640cc2b965ef73b37d5b8d7b0ab4a834'], None], 'Vangionenstr. 15 67547 Worms')","['PAGE TITLE: sat Sanierungstechnik GmbH in Worms, Ihr Dienstleister für Recyclingtechnik, Gefahrstoffsanierung, Brandschadensanierung und Wasserschadensanierung.', ['impressum.php?uKey=640cc2b965ef73b37d5b8d7b0ab4a834'], None]",Vangionenstr. 15 67547 Worms,"[51.27476, 6.79986]"
